"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2021","28.93","29.95","30.45","28.55","14.67M","-3.92%"
"06/21/2021","30.11","30.06","30.50","29.00","11.27M","0.00%"
"06/18/2021","30.11","31.22","31.23","29.69","20.63M","-2.49%"
"06/17/2021","30.88","28.67","31.32","28.43","24.69M","8.73%"
"06/16/2021","28.40","27.36","28.74","27.29","12.19M","0.67%"
"06/15/2021","28.21","27.89","28.99","27.80","14.77M","-0.11%"
"06/14/2021","28.24","28.33","28.57","27.79","10.20M","0.46%"
"06/11/2021","28.11","27.23","28.49","26.90","18.42M","4.11%"
"06/10/2021","27.00","27.61","28.00","26.91","12.24M","-1.57%"
"06/09/2021","27.43","29.00","29.09","27.22","15.15M","-3.65%"
"06/08/2021","28.47","27.47","29.07","27.35","26.44M","6.71%"
"06/07/2021","26.68","25.67","27.24","25.59","20.62M","4.06%"
"06/04/2021","25.64","25.06","25.65","24.73","11.66M","2.72%"
"06/03/2021","24.96","24.37","25.36","23.40","19.31M","2.55%"
"06/02/2021","24.34","23.62","25.05","23.60","20.35M","2.23%"
"06/01/2021","23.81","24.04","24.52","23.54","17.06M","2.19%"
"05/28/2021","23.30","23.61","24.38","22.78","17.30M","-1.48%"
"05/27/2021","23.65","23.23","23.72","22.26","60.41M","3.64%"
"05/26/2021","22.82","20.15","23.40","19.85","36.84M","14.16%"
"05/25/2021","19.99","21.22","21.52","19.75","16.46M","-3.94%"
"05/24/2021","20.81","20.56","21.14","20.18","8.48M","1.56%"
"05/21/2021","20.49","20.61","20.75","19.86","8.22M","1.09%"
"05/20/2021","20.27","19.99","20.58","19.85","13.42M","3.68%"
"05/19/2021","19.55","18.73","19.60","18.62","8.78M","0.72%"
"05/18/2021","19.41","19.11","19.83","18.95","11.43M","2.97%"
"05/17/2021","18.85","18.38","19.11","18.29","9.77M","2.72%"
"05/14/2021","18.35","17.40","18.50","17.30","8.52M","6.50%"
"05/13/2021","17.23","18.29","18.44","16.72","11.56M","-3.09%"
"05/12/2021","17.78","17.20","18.57","16.93","27.26M","4.53%"
"05/11/2021","17.01","16.10","17.26","15.98","10.50M","0.00%"
"05/10/2021","17.01","18.15","18.20","16.96","12.70M","-6.85%"
"05/07/2021","18.26","18.05","18.76","17.95","7.01M","1.50%"
"05/06/2021","17.99","18.99","19.01","17.60","12.30M","-4.41%"
"05/05/2021","18.82","19.55","19.64","18.80","7.09M","-3.09%"
"05/04/2021","19.42","19.37","19.62","18.74","9.12M","-0.10%"
"05/03/2021","19.44","20.06","20.15","19.35","5.97M","-1.52%"
"04/30/2021","19.74","19.28","20.02","19.19","5.94M","0.97%"
"04/29/2021","19.55","20.16","20.33","19.36","7.92M","-3.03%"
"04/28/2021","20.16","20.34","20.51","20.09","6.87M","-2.28%"
"04/27/2021","20.63","20.89","20.98","20.46","6.87M","-0.86%"
"04/26/2021","20.81","20.84","20.92","20.31","5.89M","1.02%"
"04/23/2021","20.60","20.21","20.70","19.91","6.79M","2.79%"
"04/22/2021","20.04","19.85","20.69","19.65","10.62M","1.31%"
"04/21/2021","19.78","19.01","19.80","18.68","10.76M","3.24%"
"04/20/2021","19.16","19.20","19.64","18.79","7.25M","-0.47%"
"04/19/2021","19.25","19.39","19.50","18.54","10.60M","-0.16%"
"04/16/2021","19.28","19.45","19.48","18.90","11.84M","-2.03%"
"04/15/2021","19.68","20.89","20.96","19.20","22.24M","-6.73%"
"04/14/2021","21.10","21.96","22.11","20.85","11.53M","-3.30%"
"04/13/2021","21.82","21.92","22.06","21.26","11.27M","0.18%"
"04/12/2021","21.78","22.67","22.72","21.60","10.73M","-4.31%"
"04/09/2021","22.76","22.90","22.98","22.31","7.20M","-2.02%"
"04/08/2021","23.23","23.02","23.50","22.34","20.40M","4.50%"
"04/07/2021","22.23","24.26","24.26","22.08","37.79M","-12.93%"
"04/06/2021","25.53","24.89","25.75","24.43","6.26M","2.37%"
"04/05/2021","24.94","25.87","26.00","24.76","5.78M","-1.23%"
"04/01/2021","25.25","26.10","26.13","25.01","7.10M","1.00%"
"03/31/2021","25.00","23.57","25.16","23.50","14.39M","8.32%"
"03/30/2021","23.08","21.92","23.33","21.52","13.18M","2.12%"
"03/29/2021","22.60","23.64","24.22","22.20","12.28M","-4.64%"
"03/26/2021","23.70","22.99","24.29","22.55","13.69M","0.85%"
"03/25/2021","23.50","22.08","23.79","22.00","9.67M","2.66%"
"03/24/2021","22.89","25.75","25.95","22.53","18.73M","-13.20%"
"03/23/2021","26.37","25.78","27.04","25.64","10.28M","-1.68%"
"03/22/2021","26.82","26.53","27.32","26.37","8.97M","2.05%"
"03/19/2021","26.28","24.90","26.51","24.54","27.77M","4.87%"
"03/18/2021","25.06","24.84","25.80","24.66","12.72M","-1.45%"
